CODIGO DE LA PREGUNTA,	PREGUNTA,	TIEMPO DE EJECUCION,	DIMENSION X DE LA MATRIZ,	DIMENSION Y DE LA MATRIZ,	NUMERO DE DOCUMENTOS,	NUMERO DE PALABRAS,	NUMERO DE ITERACIONES UTILIZADAS,	TIEMPO ONLINE,	TIEMPO LEMMATIZACION,	TIEMPO ENTRENAMIENTO,	TIEMPO TOTAL
2013-09-26 15:54:14.558910,	why is the sky blue,	0.610831975937,	10,	10,	19,	387,	10,	0,	0,	0.610846996307,	0.610831975937
2013-09-26 15:59:51.403948,	why is the sky blue,	0.625721931458,	10,	10,	19,	387,	10,	0,	0,	0.625735998154,	0.625721931458
2013-09-26 16:00:51.950362,	why is the sky blue,	0.613863945007,	10,	10,	19,	387,	10,	0,	0,	0.613881111145,	0.613863945007
2013-09-26 16:05:21.805266,	why is the sky blue,	0.612911939621,	10,	10,	19,	387,	10,	0,	0,	0.612931013107,	0.612911939621
2013-10-10 00:27:43.524440,	why is the sky blue,	0.868454933167,	10,	10,	19,	387,	10,	0,	0,	0.868474006653,	0.868454933167
2013-10-10 01:03:48.312041,	why is the sky blue,	0.898814916611,	10,	10,	19,	387,	10,	0,	0,	0.898838043213,	0.898814916611
2013-10-10 01:07:12.602660,	why is the sky blue,	0.772859096527,	10,	10,	19,	387,	10,	0,	0,	0.772874116898,	0.772859096527
2013-10-26 12:33:23.718157,	why is the sky blue,	1.14050388336,	10,	10,	19,	387,	10,	0,	0,	1.14051890373,	1.14050388336
2013-10-26 12:57:04.883067,	why is the sky blue,	0.624467849731,	10,	10,	19,	387,	10,	0,	0,	0.624485015869,	0.624467849731
2013-10-26 12:57:54.224298,	why is the sky blue,	0.634470939636,	10,	10,	19,	387,	10,	0,	0,	0.634488105774,	0.634470939636
2013-10-26 13:01:52.990114,	why is the sky blue,	0.628523111343,	10,	10,	19,	387,	10,	0,	0,	0.628538131714,	0.628523111343
2013-10-26 13:02:30.498350,	why is the sky blue,	0.623208999634,	10,	10,	19,	387,	10,	0,	0,	0.623225927353,	0.623208999634
2013-10-26 13:03:40.932389,	why is the sky blue,	0.635172128677,	10,	10,	19,	387,	10,	0,	0,	0.635190010071,	0.635172128677
2013-10-26 13:04:42.242455,	why is the sky blue,	0.62389588356,	10,	10,	19,	387,	10,	0,	0,	0.623912096024,	0.62389588356
2013-11-07 23:52:06.176502,	why is the sky blue,	0.950292825699,	10,	10,	19,	387,	10,	0,	0,	0.950309038162,	0.950292825699
2013-11-08 08:28:01.768111,	why is the sky blue,	0.63893699646,	10,	10,	19,	387,	10,	0,	0,	0.638949871063,	0.63893699646
2013-11-08 08:30:58.987573,	why is the sky blue,	0.684699058533,	10,	10,	19,	387,	10,	0,	0,	0.684715032578,	0.684699058533
2013-11-08 08:32:25.056282,	why is the sky blue,	0.637413978577,	10,	10,	19,	387,	10,	0,	0,	0.637428998947,	0.637413978577
2013-11-08 08:34:14.007953,	why is the sky blue,	0.6292989254,	10,	10,	19,	387,	10,	0,	0,	0.629315853119,	0.6292989254
2013-11-08 09:45:44.584125,	why is the sky blue,	1.2424390316,	10,	10,	19,	387,	10,	0,	0,	1.24245405197,	1.2424390316
2013-11-08 11:40:34.039447,	why is the sky blue,	1.28093099594,	10,	10,	19,	387,	10,	0,	0,	1.28095388412,	1.28093099594
2013-12-04 14:32:49.969458,	Why is the sky blue,	17.7009050846,	10,	10,	4,	82,	10,	8.88801407814,	8.69000101089,	0.122902870178,	17.7009050846
2013-12-04 14:33:52.489197,	Why is the sky blue,	47.9427218437,	10,	10,	18,	437,	10,	29.1217639446,	18.12976408,	0.691217899323,	47.9427218437
